date	Total de editores	Novos	>=5	>=100	Total de artigos	Novos artigos	Média de edições
Nov-2002	6	1	1	 	281	1	1.6
Oct-2002	5	1	1	 	258	1	1.6
Sep-2002	4	 	1	 	234	1	1.6
Aug-2002	4	 	 	 	214	 	1.6
Jul-2002	4	 	 	 	204	1	1.5
Jun-2002	4	 	1	 	187	1	1.5
May-2002	4	1	1	 	159	1	1.5
Apr-2002	3	 	 	 	142	 	1.6
Mar-2002	3	 	 	 	138	 	1.6
Feb-2002	3	 	 	 	130	 	1.6
Jan-2002	3	 	 	 	124	 	1.5
Dec-2001	3	 	 	 	121	 	1.5
Nov-2001	3	 	1	 	116	1	1.5
Oct-2001	3	1	2	 	98	2	1.4
Sep-2001	2	1	 	 	23	 	1.4
Aug-2001	1	 	1	 	16	 	1.2
Jul-2001	1	 	 	 	5	 	1.6
Jun-2001	1	1	 	 	3	 	2
